,0
0,2.94
1,2.82
2,3.06
3,2.94
4,2.93
5,3.06
6,3.1
7,3.0
8,3.06
9,3.18
10,2.97
11,3.06
12,3.13
13,3.0
14,3.03
15,3.22
16,3.25
17,3.06
18,3.18
19,3.25
20,2.93
21,3.22
22,3.06
23,3.0
24,3.25
25,3.07
26,3.12
27,3.18
28,3.06
29,3.25
30,3.09
31,2.93
32,3.0
33,2.97
34,2.97
35,3.22
36,3.06
37,3.03
38,3.16
39,2.91
40,2.97
41,2.94
42,2.97
43,3.03
44,2.88
45,3.16
46,3.12
47,3.1
48,3.03
49,3.19
50,3.12
51,2.9
52,3.0
53,3.15
54,3.1
55,3.12
56,2.97
57,3.28
58,3.28
59,3.12
60,3.0
61,2.85
62,2.97
63,3.22
64,3.25
65,3.12
66,3.16
67,3.16
68,2.88
69,2.92
70,3.18
71,3.12
72,2.97
73,2.89
74,2.79
75,2.94
76,3.22
77,2.81
78,3.1
79,2.97
80,3.03
81,2.97
82,3.25
83,2.97
84,2.9
85,3.06
86,3.13
87,3.09
88,3.23
89,3.16
90,3.28
91,3.12
92,2.89
93,3.16
94,3.09
95,3.18
96,3.09
97,3.1
98,3.18
99,2.93
100,3.04
101,3.15
102,3.1
103,3.0
104,3.16
105,3.03
106,2.94
107,2.96
108,2.9
109,3.1
110,3.16
111,3.0
112,3.06
113,3.06
114,3.19
115,3.03
116,3.1
117,2.94
118,3.03
119,3.06
120,2.91
121,2.97
122,3.07
123,3.24
124,3.03
125,3.12
126,3.22
127,3.25
128,3.0
129,3.16
130,3.0
131,3.22
132,3.13
133,3.22
134,3.43
135,2.99
136,2.88
137,3.23
138,3.19
139,3.19
140,2.91
141,2.76
142,3.03
143,3.1
144,3.13
145,3.28
146,3.13
147,3.0
148,3.37
149,3.16
150,3.25
151,3.0
152,3.16
153,2.91
154,3.3
155,2.88
156,3.31
157,3.03
158,3.25
159,3.03
160,3.13
161,3.06
162,3.19
163,3.09
164,3.28
165,3.06
166,3.28
167,3.25
168,2.97
169,3.28
170,3.03
171,3.18
172,3.03
173,3.25
174,3.25
175,3.32
176,3.13
177,3.24
178,3.47
179,3.03
180,3.03
181,3.22
182,3.31
183,2.94
184,3.16
185,3.48
186,2.87
187,3.04
188,3.28
189,3.22
190,3.06
191,3.35
192,3.22
193,3.0
194,3.37
195,3.25
196,3.34
197,2.96
198,3.18
199,3.03
